# py -c 'import sys,pstats;pstats.Stats("eventlethello.prof").strip_dirs().sort_stats("cumulative").print_stats()' | mate

Mon May  4 23:20:16 2009    eventlethello.prof

         1871962 function calls (1816583 primitive calls) in 44.689 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pollhub.py:41(Hub)
        1    0.000    0.000    0.000    0.000 <string>:1(getsockopt)
        1    0.000    0.000    0.000    0.000 <string>:1(setsockopt)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:125(fileno)
       16    0.000    0.000    0.000    0.000 {built-in method unregister}
       14    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 runloop.py:41(__init__)
        1    0.000    0.000    0.000    0.000 pools.py:62(__init__)
        1    0.000    0.000    0.000    0.000 runloop.py:38(RunLoop)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:290(wrapped_file)
        1    0.000    0.000    0.000    0.000 httpd.py:535(__init__)
        1    0.000    0.000    0.000    0.000 timer.py:31(Timer)
        2    0.000    0.000    0.000    0.000 wrappedfd.py:33(higher_order_recv)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:67(RefCount)
        1    0.000    0.000    0.000    0.000 runloop.py:68(default_sleep)
        1    0.000    0.000    0.000    0.000 eventlethello.py:23(deadlog)
        2    0.000    0.000    0.000    0.000 wrappedfd.py:56(higher_order_send)
        1    0.000    0.000    0.000    0.000 {select.poll}
        1    0.000    0.000    0.000    0.000 {sys.exc_info}
      6/0    0.000    0.000    0.000          coros.py:446(_main_loop)
  20058/0    0.026    0.000    0.000          {method 'switch' of 'greenlet.greenlet' objects}
        1    0.000    0.000    0.000    0.000 runloop.py:65(default_clock)
  20058/0    0.084    0.000    0.000          greenlib.py:296(switch)
      2/0    0.057    0.029    0.000          greenlib.py:260(greenlet_body)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


